DATE,VIX_Index
2000-01-31,23.202
2000-02-29,23.5955
2000-03-31,22.718260869565217
2000-04-30,27.164210526315788
2000-05-31,26.37318181818182
2000-06-30,21.54
2000-07-31,19.893
2000-08-31,18.088695652173914
2000-09-30,19.6875
2000-10-31,25.2
2000-11-30,26.38285714285714
2000-12-31,26.5305
2001-01-31,24.918571428571425
2001-02-28,23.411578947368422
2001-03-31,28.49681818181818
2001-04-30,28.134
2001-05-31,22.944090909090907
2001-06-30,20.94047619047619
2001-07-31,22.316190476190474
2001-08-31,21.86173913043478
2001-09-30,35.065333333333335
2001-10-31,32.72130434782609
2001-11-30,26.63095238095238
2001-12-31,23.72
2002-01-31,22.252857142857145
2002-02-28,22.87578947368421
2002-03-31,18.985
2002-04-30,19.900454545454547
2002-05-31,20.087727272727275
2002-06-30,25.271
2002-07-31,34.04954545454546
2002-08-31,33.74272727272727
2002-09-30,37.6475
2002-10-31,35.24304347826087
2002-11-30,28.175
2002-12-31,28.21047619047619
2003-01-31,27.424285714285716
2003-02-28,32.21842105263158
2003-03-31,30.63428571428572
2003-04-30,23.99190476190476
2003-05-31,20.23952380952381
2003-06-30,20.362380952380956
2003-07-31,19.161363636363635
2003-08-31,19.274285714285718
2003-09-30,19.532380952380954
2003-10-31,18.023478260869567
2003-11-30,17.40105263157895
2003-12-31,16.826363636363638
2004-01-31,16.101
2004-02-29,15.99842105263158
2004-03-31,17.687391304347827
2004-04-30,15.69857142857143
2004-05-31,17.705000000000002
2004-06-30,15.342727272727274
2004-07-31,15.502380952380951
2004-08-31,16.68409090909091
2004-09-30,14.08095238095238
2004-10-31,14.973809523809525
2004-11-30,13.577619047619049
2004-12-31,12.459545454545456
2005-01-31,13.438
2005-02-28,11.708947368421052
2005-03-31,13.126363636363635
2005-04-30,14.459047619047618
2005-05-31,13.967619047619047
2005-06-30,11.868636363636364
2005-07-31,11.049
2005-08-31,12.951304347826088
2005-09-30,12.628095238095238
2005-10-31,14.937619047619048
2005-11-30,12.147619047619049
2005-12-31,11.26
2006-01-31,12.036
2006-02-28,12.471052631578948
2006-03-31,11.69391304347826
2006-04-30,11.84736842105263
2006-05-31,14.454545454545457
2006-06-30,16.918636363636363
2006-07-31,15.326
2006-08-31,13.351739130434783
2006-09-30,12.1845
2006-10-31,11.306363636363637
2006-11-30,10.817619047619049
2006-12-31,10.9645
2007-01-31,11.0425
2007-02-28,11.155263157894735
2007-03-31,15.162727272727272
2007-04-30,12.933000000000002
